epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
0.0,0.0,0.014127803035080433,73.63570404052734,0.014111971482634544,1,640.0,160.0
1.0,0.0,0.014127803035080433,73.57333374023438,0.01409755740314722,2,640.0,160.0
2.0,0.0,0.014127803035080433,73.5130615234375,0.01408300269395113,3,640.0,160.0
3.0,0.0,0.014127803035080433,73.45211791992188,0.014067263342440128,4,640.0,160.0
4.0,0.0,0.014127803035080433,73.38899230957031,0.014049859717488289,5,640.0,160.0
5.0,0.0,0.014127803035080433,73.31661224365234,0.01403024885803461,6,640.0,160.0
6.0,0.0,0.014127803035080433,73.2331314086914,0.014007959514856339,7,640.0,160.0
7.0,0.0,0.013982253149151802,73.1384506225586,0.013982253149151802,8,640.0,160.0
8.0,0.0,0.013982253149151802,73.03032684326172,0.013952555134892464,9,640.0,160.0
9.0,0.0,0.013982253149151802,72.90310668945312,0.013918057084083557,10,640.0,160.0
10.0,0.0,0.013982253149151802,72.75975799560547,0.013878097757697105,11,640.0,160.0
11.0,0.0,0.013832266442477703,72.59588623046875,0.013832266442477703,12,640.0,160.0
12.0,0.0,0.013832266442477703,72.40079498291016,0.01377990934997797,13,640.0,160.0
13.0,0.0,0.013832266442477703,72.19344329833984,0.01372014731168747,14,640.0,160.0
14.0,0.0,0.013652416877448559,71.94097137451172,0.013652416877448559,15,640.0,160.0
15.0,0.0,0.013652416877448559,71.66304016113281,0.013576666824519634,16,640.0,160.0
16.0,0.0,0.013492690399289131,71.34625244140625,0.013492690399289131,17,640.0,160.0
17.0,0.0,0.013492690399289131,70.9911117553711,0.013400210998952389,18,640.0,160.0
18.0,0.0,0.013298953883349895,70.6004867553711,0.013298953883349895,19,640.0,160.0
19.0,0.0,0.013298953883349895,70.16629028320312,0.01318836398422718,20,640.0,160.0
20.0,0.0,0.013069055043160915,69.69158172607422,0.013069055043160915,21,640.0,160.0
21.0,0.0,0.013069055043160915,69.13983917236328,0.012940525077283382,22,640.0,160.0
22.0,0.0,0.012801149860024452,68.52324676513672,0.012801149860024452,23,640.0,160.0
23.0,0.0,0.012648218311369419,67.8481674194336,0.012648218311369419,24,640.0,160.0
24.0,0.0,0.012477867305278778,67.09325408935547,0.012477867305278778,25,640.0,160.0
25.0,0.0,0.012288522906601429,66.2508316040039,0.012288522906601429,26,640.0,160.0
26.0,0.0,0.012079577893018723,65.29286193847656,0.012079577893018723,27,640.0,160.0
27.0,0.0,0.011846407316625118,64.21756744384766,0.011846407316625118,28,640.0,160.0
28.0,0.0,0.011587919667363167,63.06884765625,0.011587919667363167,29,640.0,160.0
29.0,0.0,0.011303693056106567,61.7786979675293,0.011303693056106567,30,640.0,160.0
30.0,0.0,0.010992632247507572,60.40159606933594,0.010992632247507572,31,640.0,160.0
31.0,0.0,0.010655841790139675,58.98666000366211,0.010655841790139675,32,640.0,160.0
32.0,0.0,0.010298904031515121,57.48785400390625,0.010298904031515121,33,640.0,160.0
33.0,0.0,0.009929594583809376,55.93080139160156,0.009929594583809376,34,640.0,160.0
34.0,0.0,0.009551381692290306,54.44075393676758,0.009551381692290306,35,640.0,160.0
35.0,0.0,0.009167108684778214,52.945674896240234,0.009167108684778214,36,640.0,160.0
36.0,0.0,0.008787170052528381,51.624019622802734,0.008787170052528381,37,640.0,160.0
37.0,0.0,0.008404086343944073,50.29253005981445,0.008404086343944073,38,640.0,160.0
38.0,0.0,0.008028920739889145,49.179752349853516,0.008028920739889145,39,640.0,160.0
39.0,0.0,0.007684573996812105,48.17063903808594,0.007684573996812105,40,640.0,160.0
40.0,0.0,0.007361337076872587,47.2264404296875,0.007361337076872587,41,640.0,160.0
41.0,0.0,0.007071003783494234,46.37027359008789,0.007071003783494234,42,640.0,160.0
42.0,0.0,0.006815483793616295,45.659637451171875,0.006815483793616295,43,640.0,160.0
43.0,0.0,0.006583563983440399,44.967716217041016,0.006583563983440399,44,640.0,160.0
44.0,0.0,0.006361968349665403,44.39313888549805,0.006361968349665403,45,640.0,160.0
45.0,0.0,0.0061619156040251255,43.84453201293945,0.0061619156040251255,46,640.0,160.0
46.0,0.0,0.005973555613309145,43.372894287109375,0.005973555613309145,47,640.0,160.0
47.0,0.0,0.0057927463203668594,42.84769821166992,0.0057927463203668594,48,640.0,160.0
48.0,0.0,0.005618985742330551,42.375118255615234,0.005618985742330551,49,640.0,160.0
49.0,0.0,0.005432588048279285,41.92414474487305,0.005432588048279285,50,640.0,160.0
50.0,0.0,0.0052736555226147175,41.50413131713867,0.0052736555226147175,51,640.0,160.0
51.0,0.0,0.005142219364643097,41.15446853637695,0.005142219364643097,52,640.0,160.0
52.0,0.0,0.0049743447452783585,40.849971771240234,0.0049743447452783585,53,640.0,160.0
53.0,0.0,0.004863840062171221,40.6527214050293,0.004863840062171221,54,640.0,160.0
54.0,0.0,0.004741656593978405,40.476924896240234,0.004741656593978405,55,640.0,160.0
55.0,0.0,0.004664297215640545,40.382320404052734,0.004664297215640545,56,640.0,160.0
56.0,0.0,0.004610080737620592,40.31338882446289,0.004610080737620592,57,640.0,160.0
57.0,0.0,0.0045387097634375095,40.261505126953125,0.0045387097634375095,58,640.0,160.0
58.0,0.0,0.0045387097634375095,40.22074890136719,0.00453169597312808,59,640.0,160.0
59.0,0.0,0.0045387097634375095,40.154876708984375,0.004510154481977224,60,640.0,160.0
60.0,0.0,0.0045387097634375095,40.10830307006836,0.0045111291110515594,61,640.0,160.0
61.0,0.0,0.0045387097634375095,40.081363677978516,0.004518594592809677,62,640.0,160.0
62.0,0.0,0.0045387097634375095,40.04616165161133,0.004518231842666864,63,640.0,160.0
63.0,0.0,0.0045387097634375095,40.02439498901367,0.004527066368609667,64,640.0,160.0
64.0,0.0,0.0045387097634375095,39.97706985473633,0.004543808754533529,65,640.0,160.0
65.0,0.0,0.0045387097634375095,39.93922805786133,0.004553665407001972,66,640.0,160.0
66.0,0.0,0.0045387097634375095,39.92549514770508,0.004558797925710678,67,640.0,160.0
67.0,0.0,0.0045387097634375095,39.907630920410156,0.0045706527307629585,68,640.0,160.0
68.0,0.0,0.0045387097634375095,39.88277053833008,0.004579857457429171,69,640.0,160.0
69.0,0.0,0.0045387097634375095,39.86252975463867,0.004574508871883154,70,640.0,160.0
70.0,0.0,0.0045387097634375095,39.83803939819336,0.0045796167105436325,71,640.0,160.0
71.0,0.0,0.0045387097634375095,39.82426834106445,0.004586963448673487,72,640.0,160.0
72.0,0.0,0.0045387097634375095,39.80288314819336,0.004579564556479454,73,640.0,160.0
73.0,0.0,0.0045387097634375095,39.80083465576172,0.004566267132759094,74,640.0,160.0
74.0,0.0,0.0045387097634375095,39.779205322265625,0.004569580312818289,75,640.0,160.0
75.0,0.0,0.0045387097634375095,39.78353500366211,0.0045622834004461765,76,640.0,160.0
76.0,0.0,0.0045387097634375095,39.76268005371094,0.0045650373212993145,77,640.0,160.0
77.0,0.0,0.0045387097634375095,39.758026123046875,0.004568543750792742,78,640.0,160.0
78.0,0.0,0.0045387097634375095,39.75918960571289,0.004576332867145538,79,640.0,160.0
79.0,0.0,0.0045387097634375095,39.75822067260742,0.004560955334454775,80,640.0,160.0
80.0,0.0,0.0045387097634375095,39.73360824584961,0.004574170336127281,81,640.0,160.0
81.0,0.0,0.0045387097634375095,39.74037170410156,0.0045600575394928455,82,640.0,160.0
82.0,0.0,0.0045387097634375095,39.67074203491211,0.004555589519441128,83,640.0,160.0
83.0,0.0,0.0045387097634375095,39.65787124633789,0.004572237376123667,84,640.0,160.0
84.0,0.0,0.0045387097634375095,39.658695220947266,0.004559852182865143,85,640.0,160.0
85.0,0.0,0.0045387097634375095,39.634918212890625,0.0045549008063972,86,640.0,160.0
86.0,0.0,0.0045387097634375095,39.61599349975586,0.004549107048660517,87,640.0,160.0
87.0,0.0,0.0045387097634375095,39.6286506652832,0.004565580748021603,88,640.0,160.0
88.0,0.0,0.0045387097634375095,39.61020278930664,0.004546961281448603,89,640.0,160.0
89.0,0.0,0.0045387097634375095,39.58473587036133,0.004566553980112076,90,640.0,160.0
90.0,0.0,0.0045387097634375095,39.59547805786133,0.0045611015520989895,91,640.0,160.0
91.0,0.0,0.0045387097634375095,39.57646179199219,0.004566221963614225,92,640.0,160.0
92.0,0.0,0.0045387097634375095,39.551883697509766,0.004568384028971195,93,640.0,160.0
